iter	Passed	Remaining
0	0	155
1	1	141
2	2	136
3	2	133
4	3	131
5	4	130
6	4	129
7	5	128
8	6	127
9	6	126
10	7	126
11	8	125
12	8	124
13	9	124
14	10	125
15	10	124
16	11	123
17	12	123
18	12	122
19	13	121
20	14	121
21	14	120
22	15	119
23	16	118
24	16	118
25	17	117
26	18	117
27	18	116
28	19	115
29	20	114
30	21	114
31	21	113
32	22	113
33	23	112
34	23	111
35	24	111
36	25	110
37	25	109
38	26	108
39	27	108
40	27	107
41	28	107
42	29	106
43	29	105
44	30	104
45	31	104
46	31	103
47	32	102
48	33	101
49	33	101
50	34	100
51	35	99
52	35	99
53	36	98
54	37	98
55	37	97
56	38	96
57	39	96
58	40	95
59	40	95
60	41	94
61	42	93
62	42	93
63	43	92
64	44	91
65	44	91
66	45	90
67	46	90
68	47	89
69	47	88
70	48	88
71	49	87
72	50	87
73	50	86
74	51	85
75	52	85
76	53	84
77	53	84
78	54	83
79	55	83
80	56	82
81	56	81
82	57	81
83	58	80
84	58	79
85	59	78
86	60	78
87	61	77
88	61	77
89	62	76
90	63	75
91	63	74
92	64	74
93	65	73
94	65	72
95	66	72
96	67	71
97	67	70
98	68	69
99	69	69
100	69	68
101	70	67
102	71	67
103	71	66
104	72	65
105	73	64
106	73	64
107	74	63
108	75	62
109	75	62
110	76	61
111	77	60
112	77	60
113	78	59
114	79	58
115	79	57
116	80	57
117	81	56
118	82	55
119	82	55
120	83	54
121	84	53
122	84	53
123	85	52
124	86	51
125	86	50
126	87	50
127	88	49
128	88	48
129	89	48
130	90	47
131	90	46
132	91	46
133	92	45
134	92	44
135	93	44
136	94	43
137	94	42
138	95	41
139	96	41
140	96	40
141	97	39
142	98	39
143	98	38
144	99	37
145	100	37
146	101	36
147	101	35
148	102	35
149	103	34
150	103	33
151	104	33
152	105	32
153	105	31
154	106	30
155	107	30
156	107	29
157	108	28
158	109	28
159	109	27
160	110	26
161	111	26
162	111	25
163	112	24
164	113	24
165	113	23
166	114	22
167	115	21
168	115	21
169	116	20
170	117	19
171	118	19
172	118	18
173	119	17
174	120	17
175	120	16
176	121	15
177	122	15
178	123	14
179	123	13
180	124	13
181	125	12
182	126	11
183	126	11
184	127	10
185	128	9
186	129	8
187	130	8
188	131	7
189	131	6
190	132	6
191	133	5
192	134	4
193	134	4
194	135	3
195	136	2
196	137	2
197	137	1
198	138	0
199	139	0
